patronal,institución,Agrupacion de Acuedo ley de Presupuesto,Agrupacion por Órganos del Estado,Agrupacion por areas de gestión
801981245,UNIDAD COORD DE PROY OBRAS PUBLIC TRANS,Gobierno Central,Órgano Ejecutivo,"Obras Públicas, Transporte, Vivienda y Desarrollo Territorial"
101980205,VICEMINISTERIO DE TRANSPORTE,Gobierno Central,Órgano Ejecutivo,"Obras Públicas, Transporte, Vivienda y Desarrollo Territorial"
301970047,VICEMINISTERIO DE VIVIENDA Y DESARROLLO URBANO,Gobierno Central,Órgano Ejecutivo,"Obras Públicas, Transporte, Vivienda y Desarrollo Territorial"
10790007,INSTITUTO DE VIVIENDA URBANA  (IVU),Gobierno Central,Órgano Ejecutivo,"Obras Públicas, Transporte, Vivienda y Desarrollo Territorial"
411790008,INSTITUTO DE VIVIENDA URBANA  (IVU),Gobierno Central,Órgano Ejecutivo,"Obras Públicas, Transporte, Vivienda y Desarrollo Territorial"
9890006,MINISTERIO DE JUSTICIA,Gobierno Central,Órgano Ejecutivo,Seguridad pública
113890006,MINISTERIO DE JUSTICIA,Gobierno Central,Órgano Ejecutivo,Seguridad pública
114800002,MINISTERIO DE JUSTICIA,Gobierno Central,Órgano Ejecutivo,Seguridad pública
206800002,MINISTERIO DE JUSTICIA,Gobierno Central,Órgano Ejecutivo,Seguridad pública
301890151,MINISTERIO DE JUSTICIA,Gobierno Central,Órgano Ejecutivo,Seguridad pública
402890027,MINISTERIO DE JUSTICIA,Gobierno Central,Órgano Ejecutivo,Seguridad pública
405890007,MINISTERIO DE JUSTICIA,Gobierno Central,Órgano Ejecutivo,Seguridad pública
407800002,MINISTERIO DE JUSTICIA,Gobierno Central,Órgano Ejecutivo,Seguridad pública
