Año,Mes,Empleados,Salarios
2015,11,1379,"2114094,59"
2015,12,1382,"2117742,27"
2016,1,1377,"2101605,06"
2016,2,1378,"2097253,98"
2016,3,1377,"2122222,52"
2016,4,1380,"2114789,15"
2016,5,1381,"2119890,84"
2016,6,1382,"2120762,93"
2016,7,1385,"2131667,45"
2016,8,1387,"2126833,01"
2016,9,1369,"2067607,19"
2016,10,1373,"2084372,20"
2016,11,1339,"2032806,06"
2016,12,1341,"2052725,93"
2017,1,1341,"2054794,01"
2017,2,1335,"2045466,31"
2017,3,1308,"2022322,73"
2017,4,1313,"1948419,81"
2017,5,1315,"2028228,81"
